pt,a,n_reaction,n_drug,N,b,c,d,expected,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ic,ic025,ic975,signal_prr,signal_ror,signal_bcpnn,n_methods_signal
ABDOMINAL PAIN,11,10921,758,1009215,747,10910,997547,8.2025,1.4005,0.7889,2.4860,0.6510,1.4066,0.7854,2.5191,0.4865,-0.3474,1.3203,False,False,False,0
DECREASED APPETITE,9,10657,758,1009215,749,10648,997809,8.0042,1.1854,0.6299,2.2305,0.0311,1.1877,0.6261,2.2529,0.2461,-0.6713,1.1636,False,False,False,0
COMPLETED SUICIDE,5,5282,758,1009215,753,5277,1003180,3.9672,1.3847,0.6019,3.1855,0.0720,1.3875,0.5995,3.2115,0.4702,-0.7355,1.6759,False,False,False,0
THERAPY NON-RESPONDER,5,5415,758,1009215,753,5410,1003047,4.0671,1.3506,0.5871,3.1072,0.0464,1.3532,0.5847,3.1321,0.4344,-0.7714,1.6401,False,False,False,0
PRODUCT DOSE OMISSION ISSUE,5,23182,758,1009215,753,23177,985280,17.4115,0.3153,0.1371,0.7251,8.3467,0.3103,0.1341,0.7180,-1.6635,-2.8692,-0.4578,False,False,False,0
HEART RATE INCREASED,17,3347,758,1009215,741,3330,1005127,2.5139,6.9814,4.3882,11.1072,78.1310,7.1226,4.4284,11.4561,2.7982,2.1223,3.4742,True,True,True,3
GASTROOESOPHAGEAL REFLUX DISEASE,16,3384,758,1009215,742,3368,1005089,2.5417,6.5082,4.0335,10.5013,66.3389,6.6306,4.0661,10.8127,2.6975,2.0013,3.3936,True,True,True,3
SEDATION,7,2946,758,1009215,751,2939,1005518,2.2127,3.3900,1.6616,6.9164,8.3378,3.4139,1.6614,7.0147,1.7599,0.7274,2.7924,True,True,True,3
CHILLS,4,4890,758,1009215,754,4886,1003571,3.6728,1.2236,0.4868,3.0753,0.0082,1.2249,0.4847,3.0956,0.2920,-1.0410,1.6249,False,False,False,0
EMOTIONAL DISORDER,3,492,758,1009215,755,489,1007968,0.3695,9.5002,3.3278,27.1208,12.2981,9.5395,3.3255,27.3650,3.2412,1.7297,4.7526,True,True,True,3
MOVEMENT DISORDER,5,952,758,1009215,753,947,1007510,0.7150,7.7126,3.3458,17.7786,20.0696,7.7616,3.3467,18.0004,2.9417,1.7359,4.1474,True,True,True,3
