drug_a,drug_b,pt,a_cobenfy,n_cobenfy,pct_cobenfy,a_comparator,n_comparator,pct_comparator,ror,ror_lower95,ror_upper95,p_value,bonferroni_sig
xanomeline-trospium,brexpiprazole,DIABETES MELLITUS,0,1758,0.0000,10,1598,0.6258,0.0430,0.0025,0.7347,0.0298,False
xanomeline-trospium,brexpiprazole,METABOLIC SYNDROME,0,1758,0.0000,1,1598,0.0626,0.3028,0.0123,7.4391,0.4645,False
xanomeline-trospium,brexpiprazole,BLOOD GLUCOSE INCREASED,2,1758,0.1138,11,1598,0.6884,0.1965,0.0500,0.7727,0.0199,False
xanomeline-trospium,brexpiprazole,DYSLIPIDAEMIA,0,1758,0.0000,0,1598,0.0000,0.9090,0.0180,45.8415,0.9620,False
xanomeline-trospium,brexpiprazole,DYSTONIA,1,1758,0.0569,15,1598,0.9387,0.0872,0.0163,0.4666,0.0044,False
xanomeline-trospium,brexpiprazole,AKATHISIA,8,1758,0.4551,49,1598,3.0663,0.1520,0.0732,0.3157,0.0000,True
xanomeline-trospium,brexpiprazole,PARKINSONISM,2,1758,0.1138,26,1598,1.6270,0.0845,0.0231,0.3094,0.0002,True
xanomeline-trospium,brexpiprazole,TARDIVE DYSKINESIA,2,1758,0.1138,27,1598,1.6896,0.0813,0.0222,0.2974,0.0001,True
xanomeline-trospium,brexpiprazole,EXTRAPYRAMIDAL DISORDER,4,1758,0.2275,20,1598,1.2516,0.1975,0.0710,0.5491,0.0019,False
xanomeline-trospium,brexpiprazole,TREMOR,27,1758,1.5358,54,1598,3.3792,0.4501,0.2831,0.7155,0.0007,False
xanomeline-trospium,brexpiprazole,HYPERPROLACTINAEMIA,0,1758,0.0000,15,1598,0.9387,0.0290,0.0017,0.4859,0.0138,False
xanomeline-trospium,brexpiprazole,GALACTORRHOEA,0,1758,0.0000,2,1598,0.1252,0.1816,0.0087,3.7852,0.2709,False
xanomeline-trospium,brexpiprazole,AMENORRHOEA,0,1758,0.0000,1,1598,0.0626,0.3028,0.0123,7.4391,0.4645,False
xanomeline-trospium,brexpiprazole,SOMNOLENCE,42,1758,2.3891,45,1598,2.8160,0.8454,0.5534,1.2914,0.4371,False
xanomeline-trospium,brexpiprazole,SEDATION,13,1758,0.7395,24,1598,1.5019,0.4970,0.2549,0.9692,0.0402,False
xanomeline-trospium,brexpiprazole,ELECTROCARDIOGRAM QT PROLONGED,0,1758,0.0000,31,1598,1.9399,0.0141,0.0009,0.2314,0.0028,False
xanomeline-trospium,brexpiprazole,URINARY RETENTION,112,1758,6.3709,28,1598,1.7522,3.7652,2.4818,5.7121,0.0000,True
xanomeline-trospium,brexpiprazole,DRY MOUTH,45,1758,2.5597,4,1598,0.2503,9.4089,3.5633,24.8441,0.0000,True
xanomeline-trospium,brexpiprazole,VISION BLURRED,68,1758,3.8680,9,1598,0.5632,6.7797,3.4278,13.4094,0.0000,True
xanomeline-trospium,brexpiprazole,INSOMNIA,37,1758,2.1047,63,1598,3.9424,0.5267,0.3498,0.7933,0.0022,False
xanomeline-trospium,brexpiprazole,HEADACHE,35,1758,1.9909,7,1598,0.4380,4.3708,1.9825,9.6366,0.0003,True
xanomeline-trospium,brexpiprazole,DIZZINESS,79,1758,4.4937,30,1598,1.8773,2.4343,1.5945,3.7164,0.0000,True
